subject,balanced_accuracy,best_inner_ba,best_n_components,best_reg
1,0.6304347826086957,0.5815876242098582,4,
2,0.7766798418972332,0.579070062664217,4,
3,0.4851778656126482,0.5825601840701486,4,
4,0.6067193675889329,0.5825023421001306,4,
5,0.5,0.583281072233936,6,
6,0.4732142857142857,0.5831053883957942,6,
7,0.9110671936758892,0.5791436006458437,8,
8,0.5,0.5843577961290481,6,
9,0.5208333333333334,0.5855019129244059,8,
10,0.4880952380952381,0.5803470012930201,8,
11,0.5,0.5819948230351886,8,
12,0.4970238095238095,0.5819749534453698,8,
13,0.6215415019762847,0.5802901300468623,8,
14,0.5948616600790514,0.5763323686539921,8,
15,0.5424901185770751,0.5758132850250198,8,
16,0.5,0.578279002318063,8,
17,0.5227272727272727,0.5776811108378583,6,
18,0.4802371541501976,0.5802018840933265,8,
19,0.6492094861660079,0.584619502950577,8,
20,0.5335968379446641,0.5771585311685005,8,
21,0.5089285714285714,0.5834355454436746,8,
22,0.5,0.5802801234803185,8,
23,0.7509881422924901,0.5737109737816004,8,
24,0.5,0.5794270219082521,8,
25,0.6225296442687747,0.5808584124975531,8,
26,0.6428571428571428,0.5796352371013448,8,
27,0.5405138339920948,0.580361743877644,8,
28,0.4278656126482213,0.5829959197023746,8,
29,0.7391304347826086,0.5778739777194752,8,
30,0.625,0.5811567324932516,8,
31,0.8231225296442688,0.579343170340824,8,
32,0.5952380952380952,0.5802395032823318,8,
33,0.5948616600790514,0.5839751223570555,8,
34,0.7705627705627706,0.5759394403355798,4,
35,0.5652173913043478,0.5805752623885244,8,
36,0.4199604743083004,0.5839884343172179,6,
37,0.5,0.5791881894449998,4,
38,0.4960474308300395,0.5843065425540097,8,
39,0.4407114624505929,0.5800820455064362,8,
40,0.4970238095238095,0.5818426986270591,8,
41,0.6873706004140787,0.5793401543555234,4,
42,0.6739130434782609,0.5774015511882237,8,
43,0.7549407114624507,0.5843458946438587,8,
44,0.5247035573122529,0.5855290860536677,8,
45,0.5039525691699605,0.582631803952521,8,
46,0.6492094861660079,0.5816801262060304,6,
47,0.5386904761904762,0.5812085737970716,6,
48,0.6264822134387352,0.5818898995767581,8,
49,0.7154150197628458,0.5814015034574492,8,
50,0.5681818181818181,0.5803443645049096,6,
51,0.5327380952380952,0.5794956485614227,8,
52,0.6279761904761905,0.5814863955633625,6,
53,0.6936758893280632,0.5803460053374734,8,
54,0.6047430830039526,0.583496712813187,8,
55,0.6511857707509882,0.5825816283771457,6,
56,0.5454545454545454,0.5837325749230244,6,
57,0.4910714285714285,0.58465518200429,6,
58,0.5267857142857143,0.584256039729782,6,
59,0.5059523809523809,0.5847250774090389,6,
60,0.5197628458498024,0.5734837964843515,8,
61,0.5,0.5856029518821975,8,
62,0.8636363636363636,0.5830509761570206,8,
63,0.5,0.5838071958856592,6,
64,0.4937888198757764,0.5818554339569225,4,
65,0.5178571428571429,0.5855092503349708,6,
66,0.3962450592885375,0.5836955118383717,6,
67,0.5,0.5862882356544048,8,
68,0.6650197628458498,0.5843346774232272,6,
69,0.5,0.5849575244053249,6,
70,0.825098814229249,0.5802830516920379,6,
71,0.7371541501976284,0.5831029996341863,6,
72,0.8841991341991342,0.5763782902818649,4,
73,0.6190476190476191,0.578609827394847,4,
74,0.524891774891775,0.5800714196095289,4,
75,0.6294466403162056,0.5891215902802239,6,
76,0.4523809523809523,0.5831105308911819,4,
77,0.4821428571428571,0.5890797080505887,6,
78,0.4733201581027668,0.5872417996204377,6,
79,0.5,0.583092986287278,6,
80,0.5158102766798419,0.5846066392344939,6,
81,0.5,0.5882294728478175,6,
82,0.4960474308300395,0.5876199751450678,6,
83,0.6264822134387352,0.586453892956104,6,
84,0.6067193675889329,0.5792312345951302,6,
85,0.9100790513833992,0.5833710474076091,6,
86,0.7075098814229248,0.572617420918849,6,
87,0.5,0.5785034798900792,8,
88,0.3830049261083744,0.5827712060694995,6,
89,0.5297619047619048,0.5797951308596767,6,
90,0.5474308300395256,0.5805068783170098,8,
91,0.5424901185770751,0.5781042555104984,8,
92,0.6,0.5787647475762855,8,
93,0.7371541501976284,0.5765939682654689,6,
94,0.5227272727272727,0.5783669793418474,6,
95,0.6442687747035574,0.5809872494651735,8,
96,0.4150197628458498,0.5825002748354472,6,
97,0.4782608695652174,0.5777426015169018,8,
98,0.44466403162055335,0.5780053723731965,6,
99,0.5711462450592886,0.5834676427633307,8,
100,0.4722222222222222,0.5797547644370786,4,
101,0.4051383399209486,0.5793498270519861,8,
102,0.5238095238095237,0.5806097746785224,4,
103,0.6926877470355731,0.5698233380789406,8,
104,0.4285714285714286,0.5790338550939989,4,
105,0.5009881422924901,0.5777893528307378,4,
106,0.5833333333333334,0.5682310763149511,6,
107,0.6190476190476191,0.5709329291974559,8,
108,0.8033596837944664,0.572631935958053,6,
109,0.5,0.577066854626399,6,
