subject,balanced_accuracy,accuracy
1,0.6304347826086957,0.6222222222222222
2,0.7766798418972332,0.7777777777777778
3,0.4851778656126482,0.4888888888888889
4,0.6067193675889329,0.6
5,0.5,0.4666666666666667
6,0.47619047619047616,0.4888888888888889
7,0.6156126482213439,0.6222222222222222
8,0.5,0.4888888888888889
9,0.5238095238095238,0.5555555555555556
10,0.5,0.4888888888888889
11,0.5,0.4888888888888889
12,0.5,0.4666666666666667
13,0.5938735177865613,0.6
14,0.5227272727272727,0.5333333333333333
15,0.5,0.4888888888888889
16,0.6185770750988142,0.6222222222222222
17,0.5,0.5111111111111111
18,0.45849802371541504,0.4666666666666667
19,0.6729249011857708,0.6666666666666666
20,0.6017786561264822,0.6
21,0.5089285714285714,0.5111111111111111
22,0.5,0.5111111111111111
23,0.7075098814229248,0.7111111111111111
24,0.5217391304347826,0.5111111111111111
25,0.4772727272727273,0.4666666666666667
26,0.7142857142857143,0.7333333333333333
27,0.5632411067193676,0.5555555555555556
28,0.4288537549407115,0.4222222222222222
29,0.8043478260869565,0.8
30,0.6190476190476191,0.6444444444444445
31,0.7075098814229248,0.7111111111111111
32,0.5952380952380952,0.6222222222222222
33,0.6689723320158103,0.6666666666666666
34,0.7705627705627706,0.7674418604651163
35,0.6511857707509882,0.6444444444444445
36,0.5,0.4888888888888889
37,0.5,0.5116279069767442
38,0.5543478260869565,0.5555555555555556
39,0.43478260869565216,0.4444444444444444
40,0.42857142857142855,0.4444444444444444
41,0.6873706004140787,0.6818181818181818
42,0.8033596837944664,0.8
43,0.541501976284585,0.5333333333333333
44,0.5,0.5111111111111111
45,0.5909090909090909,0.6
46,0.607707509881423,0.6
47,0.5148809523809523,0.4888888888888889
48,0.5,0.5111111111111111
49,0.7154150197628458,0.7111111111111111
50,0.5,0.5111111111111111
51,0.49702380952380953,0.4888888888888889
52,0.5416666666666666,0.5111111111111111
53,0.6215415019762847,0.6222222222222222
54,0.607707509881423,0.6
55,0.5642292490118577,0.5555555555555556
56,0.6205533596837944,0.6222222222222222
57,0.49107142857142855,0.4666666666666667
58,0.6041666666666666,0.6
59,0.5297619047619048,0.5333333333333333
60,0.5642292490118577,0.5555555555555556
61,0.5227272727272727,0.5333333333333333
62,0.8656126482213439,0.8666666666666667
63,0.5,0.4888888888888889
64,0.4937888198757764,0.4772727272727273
65,0.5029761904761905,0.4888888888888889
66,0.43675889328063244,0.4444444444444444
67,0.5,0.4888888888888889
68,0.5948616600790514,0.6
69,0.5565476190476191,0.5333333333333333
70,0.541501976284585,0.5333333333333333
71,0.7341897233201581,0.7333333333333333
72,0.8841991341991342,0.8837209302325582
73,0.6190476190476191,0.6190476190476191
74,0.524891774891775,0.5348837209302325
75,0.6739130434782609,0.6666666666666666
76,0.45238095238095233,0.4523809523809524
77,0.4821428571428571,0.5111111111111111
78,0.44762845849802374,0.4444444444444444
79,0.5434782608695652,0.5333333333333333
80,0.5069169960474308,0.5111111111111111
81,0.5,0.4888888888888889
82,0.4772727272727273,0.4666666666666667
83,0.6274703557312253,0.6222222222222222
84,0.5642292490118577,0.5555555555555556
85,0.8893280632411067,0.8888888888888888
86,0.5,0.4888888888888889
87,0.5227272727272727,0.5333333333333333
88,0.4747536945812808,0.47368421052631576
89,0.48809523809523814,0.5111111111111111
90,0.5306324110671937,0.5333333333333333
91,0.5968379446640316,0.6
92,0.6166666666666667,0.6140350877192983
93,0.6294466403162056,0.6222222222222222
94,0.5227272727272727,0.5333333333333333
95,0.4950592885375494,0.4888888888888889
96,0.6521739130434783,0.6444444444444445
97,0.4782608695652174,0.4888888888888889
98,0.4258893280632411,0.4222222222222222
99,0.5938735177865613,0.6
100,0.4722222222222222,0.4722222222222222
101,0.43478260869565216,0.4444444444444444
102,0.5238095238095237,0.5238095238095238
103,0.5691699604743083,0.5777777777777777
104,0.4285714285714286,0.42857142857142855
105,0.5009881422924901,0.5111111111111111
106,0.5416666666666666,0.5111111111111111
107,0.5684523809523809,0.5777777777777777
108,0.7826086956521738,0.7777777777777778
109,0.5,0.4888888888888889
