permutation,score
0,0.4948943223524396
1,0.500435777137048
2,0.4996552550637321
3,0.4968797108356342
4,0.4993752893533509
5,0.5046416992994163
6,0.5016279933262382
7,0.4947022757833522
8,0.4991997304298722
9,0.4971047924877202
10,0.4997813433593249
11,0.501641723520463
12,0.4930603384018305
13,0.5034722079565483
14,0.5002784039292162
15,0.5002493580248281
16,0.5020428778256859
17,0.4923299384635231
18,0.5081023090563618
19,0.4981277990120472
20,0.4990385828968831
21,0.5007161078005816
22,0.5038342304846094
23,0.5028286077383088
24,0.5026593508519978
25,0.4956805713701921
26,0.4979437380777421
27,0.5003909016274393
28,0.497419053043477
29,0.5016775105139754
30,0.4978533907120073
31,0.4989039490077961
32,0.5014044249933759
33,0.4878752004546332
34,0.4988721776567532
35,0.5006310575896767
36,0.5020536401808495
37,0.497293266435874
38,0.4966892868318875
39,0.5061808849603026
40,0.4972585326212412
41,0.496271766614806
42,0.4962788460278248
43,0.4966321618636515
44,0.5030042988156821
45,0.500026636618146
46,0.5052583665042917
47,0.485542057102034
48,0.5008509158549391
49,0.4950638693488025
50,0.5122888648841841
51,0.5033260298706703
52,0.508852380407887
53,0.4999608829433596
54,0.5078229079358675
55,0.497378022401749
56,0.4999424524370193
57,0.495078159501739
58,0.5004088788574986
59,0.5056421588641717
60,0.5036261876706907
61,0.4995490836336469
62,0.5030016535875991
63,0.4938168066469169
64,0.4988300500053798
65,0.5048793859355322
66,0.5011110835390782
67,0.5040154210826329
68,0.5001822043292135
69,0.4974690995083895
70,0.4969236334809282
71,0.5013798578489856
72,0.4940418591060586
73,0.501527985907757
74,0.4976440721746967
75,0.4908966682775879
76,0.5034933653154359
77,0.4988796521255635
78,0.5005840850673595
79,0.5025883125100145
80,0.4991073344306705
81,0.4998867888526843
82,0.5039506229185472
83,0.4988259208991159
84,0.5044734558961962
85,0.4976124173473319
86,0.5024341893121379
87,0.5057180083356789
88,0.5012670553201892
89,0.497594980641588
90,0.5006332809673112
91,0.5015868928860827
92,0.4984051924353562
93,0.4984089576635621
94,0.4988318402027258
95,0.4955118864340286
96,0.4989307964271171
97,0.5018093284830902
98,0.5059874580528818
99,0.4968765238427426
100,0.4997943660588256
101,0.5020453971850407
102,0.5019575982889052
103,0.5113084191915189
104,0.5085972096791801
105,0.5026482664647526
106,0.5023880481684836
107,0.5014829589752563
108,0.4986916072227201
