subject,within_subject_ba,cross_subject_ba,difference
1,0.6815476190476191,0.6304347826086957,-0.05111283643892339
2,0.7946428571428572,0.7766798418972332,-0.017963015245624048
3,0.5178571428571429,0.4851778656126482,-0.03267927724449471
4,0.4910714285714285,0.6067193675889329,0.11564793901750436
5,0.5416666666666666,0.5,-0.04166666666666663
6,0.5654761904761905,0.47619047619047616,-0.0892857142857143
7,0.9791666666666666,0.6156126482213439,-0.36355401844532276
8,0.4494047619047618,0.5,0.05059523809523819
9,0.5119047619047619,0.5238095238095238,0.011904761904761973
10,0.5625,0.5,-0.0625
11,0.6130952380952381,0.5,-0.11309523809523814
12,0.6339285714285715,0.5,-0.1339285714285715
13,0.5119047619047619,0.5938735177865613,0.08196875588179942
14,0.5029761904761905,0.5227272727272727,0.01975108225108224
15,0.6339285714285715,0.5,-0.1339285714285715
16,0.6994047619047619,0.6185770750988142,-0.08082768680594765
17,0.6755952380952381,0.5,-0.17559523809523814
18,0.3511904761904762,0.45849802371541504,0.10730754752493882
19,0.3541666666666667,0.6729249011857708,0.31875823451910407
20,0.5565476190476191,0.6017786561264822,0.04523103707886311
21,0.5803571428571429,0.5089285714285714,-0.07142857142857151
22,0.6458333333333334,0.5,-0.14583333333333337
23,0.5178571428571428,0.7075098814229248,0.18965273856578202
24,0.4434523809523809,0.5217391304347826,0.07828674948240172
25,0.7172619047619048,0.4772727272727273,-0.23998917748917747
26,0.5714285714285715,0.7142857142857143,0.1428571428571428
27,0.5327380952380952,0.5632411067193676,0.030503011481272324
28,0.4494047619047619,0.4288537549407115,-0.020551006964050433
29,0.9285714285714284,0.8043478260869565,-0.12422360248447184
30,0.5684523809523809,0.6190476190476191,0.05059523809523814
31,0.8154761904761906,0.7075098814229248,-0.10796630905326576
32,0.5833333333333334,0.5952380952380952,0.011904761904761862
33,0.6666666666666666,0.6689723320158103,0.0023056653491436707
34,0.9553571428571428,0.7705627705627706,-0.18479437229437223
35,0.625,0.6511857707509882,0.026185770750988158
36,0.5654761904761906,0.5,-0.06547619047619058
37,0.4047619047619047,0.5,0.09523809523809529
