subject,fixed_ba,tuned_ba,difference
1,0.6304347826086957,0.6304347826086957,0.0
2,0.7766798418972332,0.7766798418972332,0.0
3,0.4851778656126482,0.4851778656126482,0.0
4,0.6067193675889329,0.6067193675889329,0.0
5,0.5,0.5,0.0
6,0.4761904761904761,0.4732142857142857,-0.00297619047619041
7,0.6156126482213439,0.9110671936758892,0.2954545454545453
8,0.5,0.5,0.0
9,0.5238095238095238,0.5208333333333334,-0.0029761904761904656
10,0.5,0.4880952380952381,-0.011904761904761918
11,0.5,0.5,0.0
12,0.5,0.4970238095238095,-0.002976190476190521
13,0.5938735177865613,0.6215415019762847,0.027667984189723382
14,0.5227272727272727,0.5948616600790514,0.07213438735177868
15,0.5,0.5424901185770751,0.042490118577075076
16,0.6185770750988142,0.5,-0.11857707509881421
17,0.5,0.5227272727272727,0.022727272727272707
18,0.458498023715415,0.4802371541501976,0.021739130434782594
19,0.6729249011857708,0.6492094861660079,-0.02371541501976282
20,0.6017786561264822,0.5335968379446641,-0.06818181818181812
21,0.5089285714285714,0.5089285714285714,0.0
22,0.5,0.5,0.0
23,0.7075098814229248,0.7509881422924901,0.0434782608695653
24,0.5217391304347826,0.5,-0.021739130434782594
25,0.4772727272727273,0.6225296442687747,0.14525691699604737
26,0.7142857142857143,0.6428571428571428,-0.07142857142857151
27,0.5632411067193676,0.5405138339920948,-0.022727272727272707
28,0.4288537549407115,0.4278656126482213,-0.0009881422924901684
29,0.8043478260869565,0.7391304347826086,-0.0652173913043479
30,0.6190476190476191,0.625,0.005952380952380931
31,0.7075098814229248,0.8231225296442688,0.11561264822134398
32,0.5952380952380952,0.5952380952380952,0.0
33,0.6689723320158103,0.5948616600790514,-0.07411067193675891
34,0.7705627705627706,0.7705627705627706,0.0
35,0.6511857707509882,0.5652173913043478,-0.08596837944664038
36,0.5,0.4199604743083004,-0.08003952569169959
37,0.5,0.5,0.0
38,0.5543478260869565,0.4960474308300395,-0.05830039525691705
39,0.4347826086956521,0.4407114624505929,0.005928853754940788
40,0.4285714285714285,0.4970238095238095,0.06845238095238099
41,0.6873706004140787,0.6873706004140787,0.0
42,0.8033596837944664,0.6739130434782609,-0.12944664031620556
43,0.541501976284585,0.7549407114624507,0.2134387351778657
44,0.5,0.5247035573122529,0.024703557312252933
45,0.5909090909090909,0.5039525691699605,-0.08695652173913049
46,0.607707509881423,0.6492094861660079,0.04150197628458496
47,0.5148809523809523,0.5386904761904762,0.023809523809523836
48,0.5,0.6264822134387352,0.12648221343873522
49,0.7154150197628458,0.7154150197628458,0.0
50,0.5,0.5681818181818181,0.06818181818181812
51,0.4970238095238095,0.5327380952380952,0.035714285714285754
52,0.5416666666666666,0.6279761904761905,0.08630952380952384
53,0.6215415019762847,0.6936758893280632,0.07213438735177857
54,0.607707509881423,0.6047430830039526,-0.0029644268774703386
55,0.5642292490118577,0.6511857707509882,0.08695652173913049
56,0.6205533596837944,0.5454545454545454,-0.07509881422924902
57,0.4910714285714285,0.4910714285714285,0.0
58,0.6041666666666666,0.5267857142857143,-0.07738095238095233
59,0.5297619047619048,0.5059523809523809,-0.023809523809523836
60,0.5642292490118577,0.5197628458498024,-0.0444664031620553
61,0.5227272727272727,0.5,-0.022727272727272707
62,0.8656126482213439,0.8636363636363636,-0.0019762845849802257
63,0.5,0.5,0.0
64,0.4937888198757764,0.4937888198757764,0.0
65,0.5029761904761905,0.5178571428571429,0.014880952380952439
66,0.4367588932806324,0.3962450592885375,-0.040513833992094905
67,0.5,0.5,0.0
68,0.5948616600790514,0.6650197628458498,0.07015810276679846
69,0.5565476190476191,0.5,-0.05654761904761907
70,0.541501976284585,0.825098814229249,0.28359683794466406
71,0.7341897233201581,0.7371541501976284,0.0029644268774703386
72,0.8841991341991342,0.8841991341991342,0.0
73,0.6190476190476191,0.6190476190476191,0.0
74,0.524891774891775,0.524891774891775,0.0
75,0.6739130434782609,0.6294466403162056,-0.0444664031620553
76,0.4523809523809523,0.4523809523809523,0.0
77,0.4821428571428571,0.4821428571428571,0.0
78,0.4476284584980237,0.4733201581027668,0.0256916996047431
79,0.5434782608695652,0.5,-0.04347826086956519
80,0.5069169960474308,0.5158102766798419,0.008893280632411127
81,0.5,0.5,0.0
82,0.4772727272727273,0.4960474308300395,0.0187747035573122
83,0.6274703557312253,0.6264822134387352,-0.0009881422924901129
84,0.5642292490118577,0.6067193675889329,0.04249011857707519
85,0.8893280632411067,0.9100790513833992,0.02075098814229248
86,0.5,0.7075098814229248,0.2075098814229248
87,0.5227272727272727,0.5,-0.022727272727272707
88,0.4747536945812808,0.3830049261083744,-0.09174876847290642
89,0.4880952380952381,0.5297619047619048,0.041666666666666685
90,0.5306324110671937,0.5474308300395256,0.01679841897233192
91,0.5968379446640316,0.5424901185770751,-0.05434782608695654
92,0.6166666666666667,0.6,-0.01666666666666672
93,0.6294466403162056,0.7371541501976284,0.10770750988142286
94,0.5227272727272727,0.5227272727272727,0.0
95,0.4950592885375494,0.6442687747035574,0.149209486166008
96,0.6521739130434783,0.4150197628458498,-0.23715415019762848
97,0.4782608695652174,0.4782608695652174,0.0
98,0.4258893280632411,0.44466403162055335,0.018774703557312256
99,0.5938735177865613,0.5711462450592886,-0.022727272727272707
100,0.4722222222222222,0.4722222222222222,0.0
101,0.4347826086956521,0.4051383399209486,-0.029644268774703497
102,0.5238095238095237,0.5238095238095237,0.0
103,0.5691699604743083,0.6926877470355731,0.12351778656126478
