subject,balanced_accuracy,accuracy
1,0.6815476190476191,0.6666666666666666
2,0.7946428571428572,0.8000000000000002
3,0.5178571428571429,0.5111111111111111
4,0.49107142857142855,0.48888888888888893
5,0.5416666666666666,0.5555555555555555
6,0.5654761904761905,0.5777777777777778
7,0.9791666666666666,0.9777777777777779
8,0.44940476190476186,0.4666666666666666
9,0.5119047619047619,0.48888888888888893
10,0.5625,0.5555555555555555
11,0.6130952380952381,0.6
12,0.6339285714285715,0.6444444444444444
13,0.5119047619047619,0.48888888888888893
14,0.5029761904761905,0.48888888888888893
15,0.6339285714285715,0.6444444444444445
16,0.6994047619047619,0.6888888888888888
17,0.6755952380952381,0.6666666666666666
18,0.3511904761904762,0.3333333333333333
19,0.3541666666666667,0.35555555555555557
20,0.5565476190476191,0.5555555555555555
21,0.5803571428571429,0.5777777777777778
22,0.6458333333333334,0.6444444444444445
23,0.5178571428571428,0.5333333333333333
24,0.44345238095238093,0.4444444444444444
25,0.7172619047619048,0.7111111111111111
26,0.5714285714285715,0.5777777777777778
27,0.5327380952380952,0.5333333333333333
28,0.4494047619047619,0.4444444444444445
29,0.9285714285714285,0.9333333333333332
30,0.5684523809523809,0.5777777777777778
31,0.8154761904761906,0.8222222222222223
32,0.5833333333333334,0.5555555555555555
33,0.6666666666666666,0.6666666666666666
34,0.9553571428571429,0.953968253968254
35,0.625,0.6222222222222222
36,0.5654761904761906,0.5777777777777778
37,0.4047619047619047,0.39365079365079364
38,0.5714285714285715,0.5777777777777778
39,0.48809523809523814,0.4666666666666666
40,0.4077380952380952,0.4222222222222222
41,0.47321428571428575,0.47460317460317464
42,0.8214285714285715,0.8222222222222223
43,0.6815476190476191,0.6888888888888888
44,0.5773809523809524,0.5777777777777778
45,0.6309523809523809,0.6222222222222222
46,0.5505952380952381,0.5333333333333333
47,0.5416666666666666,0.5555555555555555
48,0.6577380952380952,0.6444444444444445
49,0.7232142857142857,0.7111111111111111
50,0.613095238095238,0.6222222222222222
51,0.48214285714285715,0.48888888888888893
52,0.6130952380952381,0.6222222222222222
53,0.8422619047619048,0.8444444444444444
54,0.6755952380952381,0.6888888888888888
55,0.6964285714285715,0.7111111111111111
56,0.8452380952380952,0.8444444444444444
57,0.4077380952380952,0.4000000000000001
58,0.5595238095238095,0.5555555555555555
59,0.5267857142857143,0.5333333333333333
60,0.8601190476190478,0.8666666666666667
61,0.5357142857142857,0.5333333333333333
62,0.8571428571428572,0.8666666666666667
63,0.6488095238095238,0.6666666666666666
64,0.6279761904761905,0.6349206349206349
65,0.49404761904761907,0.5111111111111111
66,0.4761904761904761,0.48888888888888893
67,0.4613095238095238,0.4666666666666666
68,0.5386904761904762,0.5333333333333333
69,0.6101190476190476,0.6
70,0.6964285714285715,0.6888888888888888
71,0.7261904761904763,0.7111111111111111
72,0.8809523809523809,0.8825396825396825
73,0.5,0.5
74,0.5982142857142857,0.6047619047619047
75,0.49702380952380953,0.5111111111111111
76,0.4047619047619047,0.4047619047619048
77,0.5446428571428571,0.5555555555555555
78,0.48809523809523814,0.48888888888888893
79,0.5119047619047619,0.5111111111111111
80,0.7113095238095238,0.7111111111111111
81,0.6160714285714285,0.6222222222222222
82,0.5148809523809524,0.5111111111111111
83,0.46428571428571425,0.4444444444444444
84,0.6220238095238095,0.6222222222222222
85,0.7916666666666666,0.7999999999999999
86,0.5416666666666666,0.5555555555555555
87,0.5089285714285715,0.5111111111111111
88,0.48888888888888893,0.49122807017543857
89,0.5684523809523809,0.5777777777777778
90,0.4851190476190476,0.4666666666666666
91,0.5505952380952381,0.5333333333333333
92,0.6814814814814815,0.6842105263157895
93,0.8214285714285715,0.8222222222222223
94,0.8809523809523809,0.8888888888888888
95,0.5,0.48888888888888893
96,0.44940476190476186,0.4444444444444445
97,0.6398809523809524,0.6222222222222222
98,0.6875,0.6888888888888888
99,0.5595238095238094,0.5555555555555555
100,0.4166666666666667,0.4166666666666667
101,0.5089285714285715,0.5111111111111111
102,0.4761904761904762,0.4761904761904762
103,0.5773809523809524,0.5777777777777778
104,0.6418650793650794,0.65
105,0.5744047619047619,0.5777777777777778
106,0.6041666666666666,0.6
107,0.5535714285714286,0.5555555555555555
108,0.693452380952381,0.6888888888888888
109,0.42857142857142855,0.4222222222222222
